Name,Adress,,Number,Topic,Description and information
Col·lectiu Cinèfil Manderlay,C Clot 157 (Sant Martí),"41.406255, 2.186113",,Culture,
Complex Esportiu Municipal Clot de la Mel,Andrade 40 (Sant Martí),"41.409490, 2.198264",933909215,Sport,
Contenidor Roba Amiga * Punt Verd de Barri del Clot,C Escultors Claperós 34 (Sant Martí),"41.405370, 2.194816",,Public amenities,
Coral Infantil Els Petits Martinencs - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,
Escola Bressol Municipal El Clot de la Mel,C Andrade 3*X (Sant Martí),"41.410245, 2.198295",934982143,Education,
Escola Bressol Municipal La Farinera,C Hernán Cortés 2 (Sant Martí),"41.408568, 2.180439",932700693,Education,
Escola Casas,C Sant Joan de Malta 44 (Sant Martí),"41.410789, 2.185199",933004265,Education,
Escola La Farigola del Clot,Carrer d'Hernán Cortés 6 (Sant Martí),"41.408635, 2.180753",932317665,Education,
Escola Rambleta del Clot,C Aragó 620 (Sant Martí),"41.408042, 2.184137",932454243,Education,
Escola de Dansa Sa Nau Dansa i Altres Arts,Carrer de Gabriel y Galán 26 - 28 (Sant Martí),"41.411015, 2.190693",680 967 559,Culture,
Escola de Música - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,
Escuela de Danzas Argentinas La Cruz del Sur - Orfeó Martinenc,Av Meridiana 97 (Sant Martí),"41.407667, 2.188493",932453990,Culture,
Espai Noves Tecnologies - Centre Cultural La Farinera del Clot,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",932918080,Culture,
Espai per a gossos deslligats al Parc del Clot - Parc del Clot,Espai per a gossos deslligats al Parc del Clot (),"41.405156, 2.195628",,Public amenities,
Espai per a gossos deslligats al carrer d'Aragó amb carrer de Lope de Vega,Espai per a gossos deslligats al carrer d'Aragó amb carrer de Lope de Vega (),"41.409678, 2.184070",,Public amenities,
Espai per a gossos deslligats als Jardins del Clot de la Mel - Jardins del Clot de la Mel,Espai per a gossos deslligats als Jardins del Clot de la Mel (),"41.416545, 2.194092",,Public amenities,
Esplai - Xino-Xano Associació de Lleure,Ptge Carmen de Burgos 1 (Sant Martí),"41.413347, 2.187024",932317290,Education,
Estacio de Bicing 103 *Aragó,C Aragó 629 (Sant Martí),"41.408512, 2.186346",937078900,Mobility,
Estació de Bicing 043 *Clot,C Clot 1 (Sant Martí),"41.408262, 2.186382",937078900,Mobility,
Estació de Bicing 044 *Avinguda Meridiana - Metro Glòries,Av Meridiana 76 (Sant Martí),"41.406517, 2.184618",937078900,Mobility,
Estació de Bicing 104 *Valencia,C València 621 (Sant Martí),"41.406208, 2.186902",937078900,Mobility,
Estació de Bicing 127 *Aragó - Navas de Tolosa,C Aragó 659 (Sant Martí),"41.409870, 2.184218",937078900,Mobility,
Estació de Bicing 132 *Plaça Valentí Almirall,Pl Valentí Almirall 9 (Sant Martí),"41.405259, 2.191576",,Mobility,
Pharmacies,,,,Health,
Federació Entitats del Clot-Camp de L'Arpa,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",932918080,Public amenities,
Fira d'Artesans del Clot *Pl Font i Sagué,Pl Font i Sagué 1 (Sant Martí),"41.405699, 2.199456",,Culture,
Fundació Privada Claperós,Carrer dels Escultors Claperós 36 (Sant Martí),"41.405301, 2.194778",93 246 94 40,Solidarity/Activism,
Fundació Sant Pere Claver del Clot,Carrer de València 680 - 698 (Sant Martí),"41.405906, 2.186831",933516011,Health,
General Formació *Escultors Claperós,C Escultors Claperós 36 (Sant Martí),"41.405301, 2.194778",932469440,Education,
Gimnàs - Centre Esportiu Municipal Vintró - Joan Alentorn,Consell de Cent 623*629 (Sant Martí),"41.408006, 2.185954",932450268,Sport,
Gospel Clot - Centre Educatiu Jesuïtes del Clot,C València 680 (Sant Martí),"41.405906, 2.186831",93 352 50 52,Culture,
Grallers i Timbalers - Castellers de Barcelona,C Bilbao 212 (Sant Martí),"41.410603, 2.193726",934982728,Culture,
